Daerah,Kecamatan,harga,kamar_tidur,luas_bangunan,luas_lahan
Gamping, Sleman,890.000.000,4,112 m²,139 m²
Depok, Sleman,5.000.000.000,4,225 m²,200 m²
Gamping, Sleman,2.200.000.000,5,300 m²,214 m²
Sleman,,1.350.000.000,5,186 m²,186 m²
Sleman,,1.900.000.000,4,218 m²,110 m²
Depok, Sleman,2.000.000.000,4,160 m²,125 m²
Purwo martani, Sleman,660.975.000,2,65 m²,94 m²
Kalasan, Sleman,715.000.000,2,45 m²,84 m²
Condong Catur, Sleman,15.000.000.000,5,432 m²,1024 m²
Sedayu, Bantul,393.000.000,2,36 m²,90 m²
Mlati, Sleman,10.000.000.000,4,339 m²,527 m²
Yogyakarta,,1.650.000.000,3,120 m²,110 m²
Depok, Sleman,8.000.000.000,5,450 m²,925 m²
Maguwoharjo, Sleman,1.500.000.000,4,130 m²,124 m²
Maguwoharjo, Sleman,1.500.000.000,3,110 m²,130 m²
Sleman,,599.000.000,2,45 m²,106 m²
Sleman, Sleman,1.000.000.000,3,120 m²,130 m²
Ngaglik, Sleman,1.050.000.000,3,83 m²,173 m²
Ngaglik, Sleman,850.000.000,3,70 m²,100 m²
Ngaglik, Sleman,750.000.000,3,120 m²,160 m²
Gamping, Sleman,925.000.000,3,90 m²,143 m²
Sleman, Sleman,365.000.000,2,36 m²,95 m²
Sleman,,6.800.000.000,5,450 m²,300 m²
Depok, Sleman,695.000.000,3,65 m²,100 m²
Ngaglik, Sleman,4.000.000.000,6,320 m²,745 m²
Ngaglik, Sleman,6.000.000.000,4,220 m²,180 m²
Sleman,,525.000.000,3,64 m²,100 m²
Ngaglik, Sleman,1.550.000.000,3,150 m²,155 m²
Condong Catur, Sleman,790.000.000,3,130 m²,100 m²
Sleman, Sleman,2.455.000.000,5,215 m²,190 m²
Ngaglik, Sleman,515.000.000,3,63 m²,101 m²
Depok, Sleman,10.000.000.000,5,577 m²,1106 m²
Gamping, Sleman,2.200.000.000,3,180 m²,135 m²
Gamping, Sleman,3.250.000.000,4,250 m²,280 m²
Gamping, Sleman,1.200.000.000,3,100 m²,125 m²
Banguntapan, Bantul,1.500.000.000,5,200 m²,164 m²
Godean, Sleman,1.310.000.000,3,100 m²,122 m²
Depok, Sleman,550.000.000,2,70 m²,90 m²
Gondomanan, Yogyakarta,1.400.200.100,5,155 m²,114 m²
Ngaglik, Sleman,8.000.000.000,4,325 m²,400 m²
Ngaglik, Sleman,1.850.000.000,4,180 m²,153 m²
Ngaglik, Sleman,1.500.000.000,5,200 m²,199 m²
Maguwoharjo, Sleman,1.500.000.000,4,130 m²,106 m²
Gamping, Sleman,985.000.000,3,97 m²,129 m²
Ngaglik, Sleman,895.000.000,3,60 m²,110 m²
Gamping, Sleman,1.850.000.000,3,130 m²,170 m²
Sleman,,1.500.000.000,3,120 m²,139 m²
Sleman,,460.000.000,2,43 m²,87 m²
Bantul,,2.900.000.000,4,115 m²,135 m²
Ngemplak, Sleman,4.500.000.000,4,444 m²,333 m²
Gamping, Sleman,3.500.000.000,5,243 m²,260 m²
Ngaglik, Sleman,6.500.000.000,,245 m²,265 m²
Banguntapan, Bantul,346.000.000,2,36 m²,80 m²
Depok, Sleman,1.500.000.000,5,185 m²,200 m²
Ngaglik, Sleman,1.600.000.000,3,100 m²,126 m²
Depok, Sleman,1.700.000.000,3,180 m²,205 m²
Depok, Sleman,1.650.000.000,3,120 m²,110 m²
Depok, Sleman,1.850.000.000,3,188 m²,127 m²
Depok, Sleman,2.000.000.000,4,110 m²,126 m²
Mlati, Sleman,1.600.000.000,4,250 m²,272 m²
Banguntapan, Bantul,346.000.000,2,36 m²,80 m²
Gamping, Sleman,3.500.000.000,5,243 m²,260 m²
Depok, Sleman,1.500.000.000,5,185 m²,200 m²
Ngaglik, Sleman,800.000.000,3,75 m²,122 m²
Ngaglik, Sleman,6.500.000.000,,245 m²,265 m²
Godean, Sleman,1.150.000.000,3,100 m²,100 m²
Depok, Sleman,1.700.000.000,3,180 m²,205 m²
Depok, Sleman,1.650.000.000,3,120 m²,110 m²
Depok, Sleman,1.850.000.000,3,188 m²,127 m²
Depok, Sleman,2.000.000.000,4,110 m²,126 m²
Ngaglik, Sleman,1.600.000.000,3,100 m²,126 m²
Sleman, Sleman,10.500.000.000,8,1350 m²,830 m²
Kasihan, Bantul,2.750.000.000,4,140 m²,264 m²
Kalasan, Sleman,2.000.000.000,4,250 m²,330 m²
Caturtunggal, Sleman,3.200.000.000,6,338 m²,136 m²
Caturtunggal, Sleman,1.800.000.000,4,104 m²,117 m²
Sleman, Sleman,3.600.000.000,4,280 m²,165 m²
Ngemplak, Sleman,1.995.000.000,3,250 m²,420 m²
Ngaglik, Sleman,1.600.000.000,4,140 m²,127 m²
Kasihan, Bantul,355.000.000,2,56 m²,80 m²
Tegalrejo, Yogyakarta,960.000.000,3,80 m²,96 m²
Depok, Sleman,890.000.000,3,140 m²,140 m²
Sleman, Sleman,1.725.750.000,4,150 m²,203 m²
Condong Catur, Sleman,1.100.000.000,3,170 m²,120 m²
Sleman, Sleman,699.000.000,3,60 m²,120 m²
Depok, Sleman,1.200.000.000,4,170 m²,120 m²
Kasihan, Bantul,150.500.000,2,30 m²,60 m²
Kalasan, Sleman,380.000.000,2,159 m²,159 m²
Depok, Sleman,687.000.000,2,55 m²,110 m²
Ngaglik, Sleman,1.350.000.000,2,100 m²,101 m²
Ngaglik, Sleman,1.200.000.000,2,,141 m²
Condong Catur, Sleman,2.500.000.000,6,170 m²,250 m²
Condong Catur, Sleman,825.000.000,6,102 m²,101 m²
Depok, Sleman,3.750.000.000,2,190 m²,214 m²
Yogyakarta,,1.750.000.000,9,,307 m²
Ngaglik, Sleman,2.500.000.000,5,200 m²,252 m²
Ngaglik, Sleman,2.900.000.000,3,147 m²,160 m²
Kalasan, Sleman,660.000.000,3,55 m²,116 m²
Bantul,,1.500.000.000,3,400 m²,1768 m²
Banguntapan, Bantul,950.000.000,3,70 m²,120 m²
Banguntapan, Bantul,530.000.000,2,51 m²,99 m²
Depok, Sleman,1.500.000.000,4,150 m²,179 m²
Depok, Sleman,3.200.000.000,5,337 m²,135 m²
Ngaglik, Sleman,750.000.000,3,90 m²,150 m²
Depok, Sleman,2.300.000.000,4,180 m²,129 m²
Kasihan, Bantul,1.650.000.000,5,180 m²,146 m²
Kasihan, Bantul,2.100.000.000,4,225 m²,150 m²
Depok, Sleman,1.500.000.000,4,135 m²,142 m²
Ngaglik, Sleman,1.795.000.000,4,180 m²,110 m²
Ngaglik, Sleman,2.500.000.000,5,350 m²,485 m²
Ngaglik, Sleman,1.900.000.000,3,180 m²,162 m²
Ngaglik, Sleman,1.950.000.000,4,183 m²,250 m²
Depok, Sleman,2.320.000.000,5,145 m²,164 m²
Depok, Sleman,826.540.000,2,50 m²,96 m²
Ngaglik, Sleman,1.233.892.800,3,120 m²,120 m²
Ngaglik, Sleman,1.295.000.000,3,122 m²,112 m²
Mlati, Sleman,880.000.000,3,62 m²,140 m²
Banguntapan, Bantul,2.500.000.000,3,115 m²,128 m²
Depok, Sleman,2.300.000.000,3,200 m²,318 m²
Mlati, Sleman,3.500.000.000,5,250 m²,211 m²
Kalasan, Sleman,550.000.000,3,80 m²,140 m²
Caturtunggal, Sleman,6.000.000.000,4,301 m²,401 m²
Depok, Sleman,4.500.000.000,4,400 m²,252 m²
Prambanan, Sleman,685.000.000,3,80 m²,156 m²
Mlati, Sleman,570.133.302,2,45 m²,105 m²
Sleman,,3.800.000.000,4,250 m²,333 m²
Mlati, Sleman,4.400.000.000,4,253 m²,251 m²
Mlati, Sleman,2.100.000.000,4,180 m²,153 m²
Sleman,,595.000.000,3,63 m²,134 m²
Bantul,,522.500.000,2,45 m²,108 m²
Caturtunggal, Sleman,6.000.000.000,,250 m²,512 m²
Ngaglik, Sleman,699.000.000,2,58 m²,122 m²
Depok, Sleman,2.300.000.000,3,200 m²,318 m²
Mlati, Sleman,880.000.000,3,62 m²,140 m²
Sedayu, Bantul,485.000.000,2,45 m²,84 m²
Banguntapan, Bantul,2.500.000.000,3,115 m²,128 m²
Banguntapan, Bantul,448.500.000,2,40 m²,90 m²
Depok, Sleman,1.850.000.000,8,350 m²,289 m²
Yogyakarta,,1.000.000.000,3,90 m²,110 m²
Umbulharjo, Yogyakarta,1.600.000.000,4,130 m²,110 m²
Banguntapan, Bantul,530.000.000,2,51 m²,99 m²
Depok, Sleman,1.500.000.000,4,150 m²,179 m²
Depok, Sleman,1.250.000.000,3,140 m²,98 m²
Kasihan, Bantul,839.000.000,3,80 m²,101 m²
Depok, Sleman,900.000.000,4,61 m²,61 m²
Mlati, Sleman,2.800.000.000,5,146 m²,198 m²
Sleman, Sleman,525.000.000,2,90 m²,45 m²
Depok, Sleman,895.000.000,3,60 m²,110 m²
Kalasan, Sleman,750.000.000,3,100 m²,126 m²
Depok, Sleman,895.000.000,3,60 m²,110 m²
Ngaglik, Sleman,699.000.000,2,58 m²,122 m²
Depok, Sleman,600.000.000,2,148 m²,134 m²
Mlati, Sleman,5.900.000.000,6,376 m²,374 m²
Maguwoharjo, Sleman,1.650.000.000,3,140 m²,142 m²
Sleman,,1.800.000.000,4,165 m²,134 m²
Mlati, Sleman,1.950.000.000,4,160 m²,172 m²
Ngaglik, Sleman,1.500.000.000,5,120 m²,120 m²
Caturtunggal, Sleman,1.400.000.000,7,250 m²,158 m²
Depok, Sleman,1.799.999.999,4,120 m²,270 m²
Yogyakarta,,1.424.000.000,3,140 m²,144 m²
Bantul,,1.400.000.000,3,95 m²,106 m²
Mlati, Sleman,525.000.000,3,63 m²,106 m²
Ngaglik, Sleman,1.400.000.000,5,150 m²,181 m²
Mlati, Sleman,1.400.000.000,4,120 m²,150 m²
Ngaglik, Sleman,920.000.000,3,54 m²,92 m²
Mlati, Sleman,2.600.000.000,6,325 m²,225 m²
Kalasan, Sleman,985.000.000,3,105 m²,120 m²
Umbulharjo, Yogyakarta,890.000.000,3,70 m²,104 m²
Kalasan, Sleman,1.200.000.000,3,100 m²,130 m²
Sleman,,1.500.000.000,3,163 m²,207 m²
Kalasan, Sleman,425.000.000,2,55 m²,108 m²
Tempel, Sleman,1.111.000.000,3,100 m²,285 m²
Playen, Gunung Kidul,270.000.000,2,45 m²,78 m²
Gamping, Sleman,1.400.000.000,3,115 m²,135 m²
Condong Catur, Sleman,1.150.000.000,3,70 m²,119 m²
Depok, Sleman,8.500.000.000,8,713 m²,897 m²
Depok, Sleman,550.000.000,2,45 m²,87 m²
Ngaglik, Sleman,1.500.000.000,4,130 m²,142 m²
Gamping, Sleman,777.700.000,3,55 m²,88 m²
Bantul,,880.000.000,3,160 m²,107 m²
Banguntapan, Bantul,850.000.000,6,172 m²,134 m²
Ngaglik, Sleman,1.700.000.000,5,180 m²,160 m²
Ngaglik, Sleman,800.000.000,3,100 m²,140 m²
Gamping, Sleman,1.600.000.000,3,150 m²,162 m²
Banguntapan, Bantul,520.000.000,2,52 m²,82 m²
Depok, Sleman,1.600.000.000,4,200 m²,131 m²
Depok, Sleman,1.500.000.000,3,100 m²,170 m²
Depok, Sleman,900.000.000,3,90 m²,154 m²
Ngaglik, Sleman,1.750.000.000,3,80 m²,202 m²
Gamping, Sleman,950.000.000,3,70 m²,136 m²
Mlati, Sleman,2.000.000.000,4,165 m²,150 m²
Mlati, Sleman,2.000.000.000,3,120 m²,184 m²
Mlati, Sleman,725.000.000,3,70 m²,103 m²
Yogyakarta,,17.000.000.000,6,500 m²,490 m²
Ngaglik, Sleman,800.000.000,3,100 m²,120 m²
Mlati, Sleman,1.950.000.000,8,320 m²,241 m²
Ngaglik, Sleman,690.000.000,3,74 m²,102 m²
Gamping, Sleman,777.700.000,3,55 m²,88 m²
Banguntapan, Bantul,1.250.000.000,3,95 m²,100 m²
Gamping, Sleman,1.550.000.000,3,173 m²,143 m²
Depok, Sleman,3.650.000.000,4,250 m²,180 m²
Ngaglik, Sleman,1.100.000.000,3,60 m²,147 m²
Sewon, Bantul,747.000.000,2,65 m²,72 m²
Ngaglik, Sleman,2.500.000.000,3,160 m²,250 m²
Depok, Sleman,1.300.000.000,3,205 m²,138 m²
Depok, Sleman,1.300.000.000,3,95 m²,171 m²
Ngaglik, Sleman,750.000.000,2,70 m²,126 m²
Kasihan, Bantul,4.999.999.999,5,450 m²,535 m²
Sleman,,1.400.000.000,4,150 m²,210 m²
Ngaglik, Sleman,1.400.000.000,3,60 m²,150 m²
Ngaglik, Sleman,1.900.000.000,3,90 m²,137 m²
Ngaglik, Sleman,1.175.000.000,3,70 m²,202 m²
Wonosari, Gunung Kidul,150.500.000,2,32 m²,60 m²
Gondomanan, Yogyakarta,1.500.000.000,3,100 m²,161 m²
Banguntapan, Bantul,650.000.000,3,62 m²,101 m²
Depok, Sleman,2.700.000.000,4,115 m²,140 m²
Depok, Sleman,900.000.000,3,90 m²,154 m²
Ngaglik, Sleman,800.000.000,3,100 m²,120 m²
Ngaglik, Sleman,1.700.000.000,5,180 m²,160 m²
Yogyakarta,,17.000.000.000,6,500 m²,490 m²
Ngemplak, Sleman,1.700.000.000,6,200 m²,513 m²
Ngemplak, Sleman,1.400.000.000,7,150 m²,125 m²
Kalasan, Sleman,3.490.000.000,4,350 m²,980 m²
Maguwoharjo, Sleman,750.000.000,3,70 m²,96 m²
Gamping, Sleman,849.900.000,3,100 m²,117 m²
Umbulharjo, Yogyakarta,3.500.000.000,4,300 m²,140 m²
Prambanan, Sleman,250.000.000,2,45 m²,65 m²
Condong Catur, Sleman,900.000.000,3,105 m²,105 m²
Ngaglik, Sleman,12.500.000.000,5,800 m²,2567 m²
Ngaglik, Sleman,975.000.000,3,100 m²,130 m²
Mlati, Sleman,775.000.000,3,60 m²,120 m²
Ngaglik, Sleman,3.000.000.000,4,350 m²,158 m²
Caturtunggal, Sleman,4.750.000.000,7,420 m²,734 m²
Mlati, Sleman,591.500.000,3,71 m²,111 m²
Sleman, Sleman,540.000.000,3,60 m²,88 m²
Mlati, Sleman,1.300.000.000,2,54 m²,131 m²
Ngaglik, Sleman,1.250.000.000,2,150 m²,105 m²
Sleman,,1.100.000.000,2,126 m²,114 m²
Ngaglik, Sleman,2.700.000.000,5,200 m²,150 m²
Prambanan, Sleman,250.000.000,2,45 m²,65 m²
Bantul,,440.000.000,2,45 m²,79 m²
Sedayu, Bantul,445.000.000,2,36 m²,80 m²
Gamping, Sleman,849.900.000,3,100 m²,117 m²
Condong Catur, Sleman,900.000.000,3,105 m²,105 m²
Depok, Sleman,850.000.000,3,150 m²,100 m²
Condong Catur, Sleman,2.200.000.000,4,121 m²,127 m²
Yogyakarta,,1.520.000.000,4,124 m²,107 m²
Depok, Sleman,2.300.000.000,5,235 m²,148 m²
Umbulharjo, Yogyakarta,3.500.000.000,4,300 m²,140 m²
Sedayu, Bantul,500.000.000,3,60 m²,100 m²
Kasihan, Bantul,2.950.000.000,4,250 m²,193 m²
Depok, Sleman,850.000.000,4,150 m²,122 m²
Sleman,,900.000.000,3,125 m²,130 m²
Sleman,,6.000.000.000,6,500 m²,750 m²
Gamping, Sleman,600.000.000,3,58 m²,120 m²
Depok, Sleman,2.250.000.000,4,204 m²,138 m²
Kasihan, Bantul,375.000.000,2,50 m²,87 m²
Kasihan, Bantul,404.000.000,2,45 m²,72 m²
Yogyakarta,,685.000.000,3,65 m²,103 m²
Depok, Sleman,3.500.000.000,6,450 m²,1100 m²
Banguntapan, Bantul,950.000.000,3,95 m²,121 m²
Ngaglik, Sleman,500.000.000,2,45 m²,95 m²
Depok, Sleman,750.000.000,3,123 m²,99 m²
Depok, Sleman,1.650.000.000,3,120 m²,110 m²
Depok, Sleman,3.000.000.000,13,230 m²,130 m²
Depok, Sleman,900.000.000,3,56 m²,98 m²
Gamping, Sleman,1.500.000.000,3,121 m²,200 m²
Kalasan, Sleman,550.000.000,2,45 m²,100 m²
Ngaglik, Sleman,980.000.000,3,75 m²,110 m²
Ngaglik, Sleman,4.700.000.000,5,260 m²,246 m²
Ngaglik, Sleman,650.000.000,3,90 m²,115 m²
Depok, Sleman,1.750.000.000,3,120 m²,130 m²
Sewon, Bantul,1.500.000.000,3,100 m²,138 m²
Banguntapan, Bantul,680.000.000,2,50 m²,150 m²
Yogyakarta,,4.500.000.000,5,700 m²,670 m²
Banguntapan, Bantul,620.000.000,2,100 m²,149 m²
Yogyakarta,,2.700.000.000,4,250 m²,688 m²
Depok, Sleman,2.800.000.000,6,400 m²,536 m²
Banguntapan, Bantul,826.540.000,2,96 m²,50 m²
Depok, Sleman,12.500.000.000,7,680 m²,504 m²
Depok, Sleman,7.000.000.000,7,380 m²,400 m²
Sedayu, Bantul,787.000.000,3,120 m²,90 m²
Mlati, Sleman,1.000.000.000,3,150 m²,113 m²
Ngaglik, Sleman,750.000.000,3,70 m²,150 m²
Tegalrejo, Yogyakarta,865.000.000,5,180 m²,202 m²
Depok, Sleman,1.400.000.000,3,120 m²,106 m²
Caturtunggal, Sleman,5.250.000.000,5,901 m²,678 m²
Sleman,,720.000.000,2,50 m²,111 m²
Mlati, Sleman,2.400.000.000,3,200 m²,318 m²
Ngaglik, Sleman,595.000.000,3,63 m²,134 m²
Godean, Sleman,1.900.000.000,5,160 m²,146 m²
Ngemplak, Sleman,1.800.000.000,3,170 m²,302 m²
Ngaglik, Sleman,2.650.000.000,5,220 m²,266 m²
Sleman,,4.500.000.000,4,361 m²,275 m²
Yogyakarta,,650.000.000,4,120 m²,142 m²
Kasihan, Bantul,345.000.000,2,36 m²,80 m²
Kasihan, Bantul,650.000.000,2,50 m²,106 m²
Ngaglik, Sleman,775.000.000,3,75 m²,105 m²
Gamping, Sleman,845.000.000,3,60 m²,166 m²
Condong Catur, Sleman,3.500.000.000,6,300 m²,946 m²
Sedayu, Bantul,350.000.000,2,40 m²,101 m²
Prambanan, Sleman,1.355.000.000,4,120 m²,370 m²
Depok, Sleman,799.000.000,3,75 m²,131 m²
Prambanan, Sleman,255.000.000,2,36 m²,60 m²
Banguntapan, Bantul,1.850.000.000,4,160 m²,120 m²
Depok, Sleman,850.000.000,3,56 m²,98 m²
Ngaglik, Sleman,690.000.000,2,74 m²,118 m²
Ngaglik, Sleman,3.000.000.000,5,268 m²,246 m²
Ngaglik, Sleman,2.100.000.000,4,160 m²,172 m²
Depok, Sleman,975.000.000,2,108 m²,108 m²
Ngaglik, Sleman,6.000.000.000,14,650 m²,751 m²
Kasihan, Bantul,2.400.000.000,4,225 m²,150 m²
Ngaglik, Sleman,8.500.000.000,8,1000 m²,1400 m²
Banguntapan, Bantul,510.000.000,2,45 m²,94 m²
Mlati, Sleman,756.000.000,3,70 m²,115 m²
Sleman,,6.500.000.000,4,300 m²,400 m²
Ngaglik, Sleman,950.000.000,2,54 m²,108 m²
Ngaglik, Sleman,600.000.000,2,45 m²,104 m²
Sedayu, Bantul,288.000.000,2,40 m²,60 m²
Ngaglik, Sleman,5.999.999.999,4,298 m²,174 m²
Kalasan, Sleman,580.000.000,3,70 m²,109 m²
Sleman,,650.000.000,3,90 m²,115 m²
Sedayu, Bantul,800.000.000,2,50 m²,105 m²
Gamping, Sleman,5.999.999.999,6,430 m²,510 m²
Depok, Sleman,4.300.000.000,14,295 m²,305 m²
Sedayu, Bantul,340.000.000,2,52 m²,80 m²
Banguntapan, Bantul,898.000.000,2,75 m²,101 m²
Depok, Sleman,4.990.000.000,5,350 m²,260 m²
Seyegan, Sleman,2.800.000.000,4,196 m²,290 m²
Mlati, Sleman,1.500.000.000,3,243 m²,243 m²
Kalasan, Sleman,550.000.000,2,45 m²,70 m²
Gamping, Sleman,315.000.000,1,92 m²,92 m²
Banguntapan, Bantul,435.000.000,2,45 m²,87 m²
Depok, Sleman,3.500.000.000,18,600 m²,221 m²
Kalasan, Sleman,500.000.000,2,46 m²,103 m²
Condong Catur, Sleman,1.800.000.000,8,160 m²,160 m²
Ngaglik, Sleman,8.000.000.000,4,393 m²,400 m²
Gamping, Sleman,1.845.000.000,3,115 m²,138 m²
Depok, Sleman,4.300.000.000,6,250 m²,200 m²
Depok, Sleman,750.000.000,2,55 m²,132 m²
Sleman,,1.700.000.000,5,150 m²,180 m²
Mlati, Sleman,750.000.000,2,150 m²,162 m²
Sleman, Sleman,2.900.000.000,3,140 m²,135 m²
Ngemplak, Sleman,5.000.000.000,6,600 m²,1300 m²
Depok, Sleman,2.000.000.000,6,150 m²,171 m²
Ngaglik, Sleman,685.000.000,3,68 m²,151 m²
Ngemplak, Sleman,850.000.000,3,120 m²,90 m²
Kasihan, Bantul,400.000.000,2,50 m²,76 m²
Umbulharjo, Yogyakarta,2.100.000.000,2,131 m²,190 m²
Ngaglik, Sleman,475.000.000,2,60 m²,91 m²
Bantul,,825.000.000,3,120 m²,114 m²
Yogyakarta,,810.000.000,3,120 m²,82 m²
Seyegan, Sleman,400.000.000,2,50 m²,106 m²
Kraton, Yogyakarta,699.000.000,2,70 m²,80 m²
Mlati, Sleman,4.200.000.000,5,313 m²,288 m²
Sedayu, Bantul,700.000.000,3,90 m²,155 m²
Bantul,,650.000.000,3,99 m²,99 m²
Gamping, Sleman,1.600.000.000,3,115 m²,135 m²
Umbulharjo, Yogyakarta,1.600.000.000,6,300 m²,200 m²
Ngaglik, Sleman,3.100.000.000,5,200 m²,148 m²
Ngemplak, Sleman,850.000.000,3,120 m²,90 m²
Depok, Sleman,780.000.000,3,100 m²,84 m²
Gamping, Sleman,1.400.000.000,3,150 m²,117 m²
Sleman,,880.000.000,2,125 m²,110 m²
Banguntapan, Bantul,2.100.000.000,3,150 m²,135 m²
Kalasan, Sleman,450.000.000,2,36 m²,159 m²
Kasihan, Bantul,1.050.000.000,3,70 m²,89 m²
Kasihan, Bantul,1.900.000.000,4,169 m²,169 m²
Wirobrajan, Yogyakarta,2.700.000.000,4,170 m²,213 m²
Sleman,,600.000.000,1,20 m²,20 m²
Banguntapan, Bantul,395.000.000,2,45 m²,72 m²
Depok, Sleman,850.000.000,2,86 m²,87 m²
Tegalrejo, Yogyakarta,2.500.000.000,4,242 m²,150 m²
Tegalrejo, Yogyakarta,1.750.000.000,4,86 m²,176 m²
Mlati, Sleman,450.000.000,2,65 m²,90 m²
Mlati, Sleman,393.000.000,2,36 m²,51 m²
Ngaglik, Sleman,1.300.000.000,3,130 m²,160 m²
Sleman,,6.500.000.000,4,316 m²,409 m²
Banguntapan, Bantul,499.000.000,2,45 m²,80 m²
Depok, Sleman,6.500.000.000,6,580 m²,460 m²
Sleman, Sleman,1.240.600.000,3,72 m²,92 m²
Depok, Sleman,985.000.000,4,145 m²,436 m²
Pakem, Sleman,5.500.000.000,5,363 m²,1130 m²
Kasihan, Bantul,495.000.000,2,45 m²,98 m²
Gamping, Sleman,675.000.000,3,64 m²,166 m²
Bantul,,325.000.000,2,45 m²,84 m²
Ngaglik, Sleman,1.152.000.000,3,110 m²,125 m²
Ngaglik, Sleman,935.000.000,4,100 m²,159 m²
Sedayu, Bantul,390.000.000,2,40 m²,75 m²
Depok, Sleman,2.399.999.999,4,200 m²,182 m²
Condong Catur, Sleman,850.000.000,3,60 m²,96 m²
Sleman,,799.000.000,2,70 m²,120 m²
Sleman,,635.000.000,2,65 m²,102 m²
Banguntapan, Bantul,1.000.000.000,2,50 m²,100 m²
Kalasan, Sleman,411.222.000,2,45 m²,75 m²
Sleman, Sleman,790.000.000,3,90 m²,140 m²
Caturtunggal, Sleman,1.600.000.000,13,350 m²,223 m²
Kasihan, Bantul,495.000.000,2,45 m²,98 m²
Depok, Sleman,1.050.000.000,3,110 m²,142 m²
Gamping, Sleman,1.499.999.999,2,75 m²,144 m²
Depok, Sleman,850.000.000,2,86 m²,87 m²
Mlati, Sleman,650.000.000,2,58 m²,83 m²
Banguntapan, Bantul,950.000.000,3,114 m²,192 m²
Condong Catur, Sleman,1.890.000.000,3,131 m²,248 m²
Umbulharjo, Yogyakarta,1.250.000.000,3,150 m²,150 m²
Sleman,,480.000.000,3,63 m²,111 m²
Ngaglik, Sleman,1.250.000.000,6,230 m²,150 m²
Prambanan, Sleman,260.000.000,2,36 m²,75 m²
Sleman,,12.500.000.000,17,800 m²,1100 m²
Depok, Sleman,9.500.000.000,10,664 m²,912 m²
Prambanan, Sleman,295.000.000,2,40 m²,65 m²
Mlati, Sleman,10.000.000.000,4,399 m²,527 m²
Kalasan, Sleman,590.000.000,3,80 m²,125 m²
Gamping, Sleman,3.500.000.000,4,200 m²,235 m²
Depok, Sleman,1.800.000.000,4,150 m²,220 m²
Ngaglik, Sleman,1.900.000.000,3,80 m²,205 m²
Sleman,,,3,67 m²,207 m²
Ngaglik, Sleman,3.150.000.000,4,169 m²,202 m²
Depok, Sleman,1.200.000.000,3,90 m²,131 m²
Depok, Sleman,850.000.000,5,90 m²,223 m²
Bantul,,850.000.000,4,140 m²,149 m²
Banguntapan, Bantul,625.000.000,2,150 m²,80 m²
Depok, Sleman,700.000.000,2,70 m²,70 m²
Kasihan, Bantul,3.975.000.000,4,220 m²,294 m²
Maguwoharjo, Sleman,1.750.000.000,5,145 m²,164 m²
Banguntapan, Bantul,750.000.000,3,70 m²,127 m²
Sleman, Sleman,1.388.800.000,4,145 m²,462 m²
Ngemplak, Sleman,725.000.000,3,80 m²,117 m²
Kasihan, Bantul,850.000.000,3,70 m²,110 m²
Kasihan, Bantul,1.400.000.000,3,235 m²,535 m²
Banguntapan, Bantul,2.550.000.000,4,172 m²,130 m²
Gamping, Sleman,495.000.000,2,45 m²,128 m²
Banguntapan, Bantul,789.000.000,3,100 m²,111 m²
Banguntapan, Bantul,575.000.000,2,72 m²,84 m²
Banguntapan, Bantul,900.000.000,3,100 m²,171 m²
Ngaglik, Sleman,1.000.000.000,4,100 m²,132 m²
Ngaglik, Sleman,1.350.000.000,3,70 m²,132 m²
Ngaglik, Sleman,1.795.000.000,4,210 m²,110 m²
Ngaglik, Sleman,2.500.000.000,4,183 m²,183 m²
Ngaglik, Sleman,4.500.000.000,5,350 m²,409 m²
Depok, Sleman,1.650.000.000,3,120 m²,100 m²
Ngaglik, Sleman,1.400.000.000,4,195 m²,115 m²
Banguntapan, Bantul,1.200.000.000,3,80 m²,113 m²
Depok, Sleman,3.200.000.000,7,400 m²,550 m²
Depok, Sleman,650.000.000,3,95 m²,103 m²
Ngaglik, Sleman,9.500.000.000,20,1000 m²,532 m²
Ngaglik, Sleman,1.700.000.000,3,110 m²,120 m²
Ngaglik, Sleman,1.750.000.000,3,223 m²,162 m²
Condong Catur, Sleman,2.710.000.000,3,95 m²,144 m²
Mlati, Sleman,790.000.000,3,68 m²,131 m²
Ngaglik, Sleman,1.750.000.000,5,165 m²,285 m²
Gamping, Sleman,495.000.000,2,45 m²,128 m²
Ngemplak, Sleman,725.000.000,3,80 m²,117 m²
Kasihan, Bantul,850.000.000,3,70 m²,110 m²
Kalasan, Sleman,488.000.000,2,44 m²,108 m²
Depok, Sleman,650.000.000,3,95 m²,103 m²
Depok, Sleman,5.750.000.000,6,376 m²,375 m²
Yogyakarta,,2.200.000.000,4,142 m²,125 m²
Mlati, Sleman,650.000.000,2,55 m²,101 m²
Yogyakarta,,6.225.000.000,5,380 m²,505 m²
Gamping, Sleman,1.200.000.000,4,130 m²,102 m²
Gamping, Sleman,710.000.000,3,65 m²,103 m²
Sleman,,685.000.000,3,80 m²,156 m²
Prambanan, Sleman,550.000.000,3,102 m²,99 m²
Mlati, Sleman,1.650.000.000,3,120 m²,147 m²
Ngaglik, Sleman,1.180.000.000,4,130 m²,118 m²
Ngaglik, Sleman,2.500.000.000,5,230 m²,252 m²
Sedayu, Bantul,790.000.000,3,120 m²,85 m²
Depok, Sleman,3.200.000.000,7,400 m²,550 m²
Depok, Sleman,1.900.000.000,3,160 m²,128 m²
Ngaglik, Sleman,2.500.000.000,3,90 m²,165 m²
